,0
0,1
1,10
2,11
3,12
4,18
5,20
6,22
7,23
8,27
9,31
10,32
11,48
12,49
13,55
14,58
15,62
16,69
17,70
18,78
19,89
20,90
21,96
22,155
23,156
24,158
25,159
26,301
27,338
28,400
29,404
30,407
31,408
32,413
33,416
34,418
35,420
36,421
37,422
38,488
39,498
40,501
41,504
42,513
43,516
44,518
45,521
46,523
47,525
48,526
49,528
50,530
51,543
52,544
53,550
54,553
55,557
56,559
57,560
58,563
59,564
60,568
61,572
62,573
63,581
64,582
65,584
66,586
67,589
68,592
69,597
70,598
71,599
72,600
73,601
74,605
75,608
76,611
77,619
78,620
79,625
80,630
81,632
82,651
83,655
84,662
85,669
86,671
87,685
88,686
89,687
90,690
91,691
92,693
93,700
94,701
95,703
96,713
97,715
98,716
99,722
100,726
101,729
102,750
103,751
104,752
105,756
106,758
107,759
108,760
109,762
110,767
111,776
112,778
113,780
114,786
115,789
116,791
117,792
118,795
119,796
120,800
121,807
122,810
123,811
124,815
125,818
126,819
127,820
128,821
129,823
130,825
131,826
132,830
133,831
134,833
135,835
136,837
137,839
138,848
139,856
140,858
141,860
142,863
143,878
144,881
145,886
146,889
147,895
148,898
149,899
150,900
151,901
152,910
153,913
154,915
155,920
156,921
157,927
158,933
159,935
160,936
161,938
162,939
163,957
164,960
165,963
166,966
167,967
168,968
169,973
170,976
171,977
172,982
173,987
174,989
175,993
176,998
177,999
178,600246
179,600198
180,600199
181,600200
182,600201
183,600203
184,600206
185,600210
186,600211
187,600220
188,600216
189,600000
190,600007
191,600009
192,600011
193,600015
194,600016
195,2001
196,2002
197,2004
198,2005
199,2006
200,2007
201,2011
202,2014
203,2015
204,2021
205,2022
206,2026
207,2027
208,2028
209,2035
210,2037
211,2038
212,2042
213,2043
214,2045
215,2047
216,2049
217,2050
218,2058
219,2060
220,2062
221,2064
222,2065
223,2067
224,2068
225,2069
226,2070
227,2073
228,2076
229,2080
230,2081
231,2082
232,2088
233,2089
234,2094
235,2096
236,2099
237,2103
238,2108
239,2110
240,2111
241,2114
242,2122
243,2124
244,2128
245,2131
246,2132
247,2133
248,2134
249,2135
250,2142
251,2146
252,2152
253,2153
254,2160
255,2161
256,2168
257,2170
258,2173
259,2174
260,2176
261,2184
262,2191
263,2194
264,2195
265,2203
266,2204
267,2206
268,2210
269,2213
270,2215
271,2218
272,2219
273,2220
274,2221
275,2223
276,2224
277,2225
278,2226
279,2228
280,2229
281,2233
282,2239
283,2241
284,2242
285,2244
286,2245
287,2249
288,2250
289,2252
290,2260
291,2263
292,2264
293,2271
294,2273
295,2279
296,2281
297,2283
298,2287
299,2291
300,2301
301,2302
302,2303
303,2308
304,2309
305,2310
306,2311
307,2314
308,2315
309,2328
310,2329
311,2330
312,2334
313,2336
314,2337
315,2341
316,2342
317,2343
318,2350
319,2353
320,2356
321,2358
322,2359
323,2367
324,2371
325,2372
326,2375
327,2378
328,2381
329,2397
330,2398
331,2399
332,2400
333,2406
334,2407
335,2408
336,2409
337,2410
338,2413
339,2415
340,2421
341,2426
342,2427
343,2428
344,2429
345,2434
346,2437
347,2443
348,2445
349,2446
350,2449
351,2450
352,2451
353,2454
354,2460
355,2461
356,2462
357,2464
358,2467
359,2474
360,2477
361,2479
362,2482
363,2486
364,2492
365,2494
366,2496
367,2497
368,2499
369,2501
370,2502
371,2508
372,2509
373,2511
374,2518
375,2523
376,2524
377,2527
378,2528
379,2529
380,2531
381,2533
382,2537
383,2541
384,2542
385,2543
386,2545
387,2546
388,2549
389,2551
390,2554
391,2555
392,2557
393,2559
394,2560
395,2561
396,2565
397,2567
398,2570
399,2574
400,2586
401,2587
402,2588
403,2589
404,2590
405,2594
406,2596
407,2597
408,2603
409,2604
410,2612
411,2613
412,2615
413,2618
414,2619
415,2626
416,2627
417,2635
418,2641
419,2644
420,2646
421,2647
422,2649
423,2656
424,2658
425,2660
426,2661
427,2665
428,2671
429,2672
430,2674
431,2681
432,2682
433,2684
434,2688
435,2692
436,2696
437,2698
438,2700
439,2705
440,2707
441,2708
442,2709
443,2713
444,2714
445,2715
446,2716
447,2718
448,2721
449,2722
450,600248
451,2725
452,600740
453,600741
454,600742
455,600743
456,600744
457,600745
458,600748
459,600754
460,600755
461,600757
462,600759
463,600761
464,600763
465,600764
466,600766
467,600770
468,600773
469,600776
470,600779
471,600780
472,600783
473,600790
474,600797
475,600801
476,600802
477,600803
478,600804
479,600805
480,600251
481,600809
482,600810
483,600812
484,600814
485,600816
486,600227
487,600820
488,600821
489,600823
490,600825
491,600826
492,600827
493,600829
494,600252
495,600835
496,600837
497,600838
498,600839
499,600841
500,600843
501,600845
502,600846
503,600847
504,600848
505,600854
506,600859
507,600863
508,600864
509,600869
510,600872
511,600873
512,600874
513,600876
514,600882
515,600884
516,600885
517,600887
518,600888
519,600256
520,600966
521,600257
522,600973
523,600976
524,600978
525,600981
526,600982
527,600986
528,600987
529,600258
530,600999
531,601002
532,601006
533,601007
534,601009
535,601016
536,600259
537,601018
538,600229
539,601088
540,601107
541,601117
542,601126
543,601139
544,601158
545,601166
546,601168
547,601188
548,601199
549,601208
550,600267
551,601231
552,601233
553,601238
554,600269
555,601288
556,601311
557,601318
558,601328
559,601369
560,601377
561,601388
562,601398
563,601519
564,601566
565,601567
566,601588
567,601599
568,601601
569,601628
570,601633
571,601636
572,601668
573,601677
574,601678
575,600234
576,601700
577,601717
578,601766
579,601788
580,601818
581,601866
582,601877
583,601880
584,601898
585,601928
586,601929
587,601958
588,601988
589,601991
590,601998
591,600237
592,600017
593,600238
594,600018
595,600019
596,600021
597,600026
598,600027
599,600029
600,600030
601,600031
602,600048
603,603306
604,603308
605,600053
606,600058
607,600059
608,600061
609,600063
610,600067
611,600068
612,603328
613,600074
614,600078
615,600079
616,600084
617,600085
618,600086
619,600089
620,600090
621,600241
622,600093
623,600097
624,600098
625,600225
626,600100
627,600101
628,600106
629,603366
630,600111
631,600112
632,603369
633,600113
634,600116
635,600120
636,600121
637,600122
638,600123
639,600127
640,600130
641,600131
642,600132
643,600136
644,600222
645,600141
646,603399
647,600143
648,600146
649,600149
650,600153
651,600160
652,600166
653,600170
654,600172
655,600173
656,600175
657,600177
658,603001
659,603006
660,603008
661,600180
662,600182
663,600183
664,600185
665,600190
666,600191
667,603100
668,600197
669,300002
670,300010
671,300012
672,300013
673,300014
674,300016
675,300017
676,300023
677,300027
678,300036
679,300037
680,300039
681,300041
682,300043
683,300044
684,300049
685,300053
686,300056
687,300057
688,300058
689,600208
690,300066
691,300068
692,300069
693,300071
694,300075
695,300083
696,300088
697,300096
698,300107
699,300109
700,300112
701,300113
702,300119
703,300120
704,300122
705,300129
706,300133
707,300134
708,300137
709,300138
710,300142
711,300156
712,300157
713,300169
714,300180
715,300181
716,300187
717,300189
718,300193
719,300194
720,300196
721,300200
722,300201
723,300202
724,300207
725,300211
726,300212
727,300214
728,300215
729,300221
730,300222
731,300223
732,300224
733,300230
734,300234
735,300235
736,300243
737,300244
738,300251
739,300254
740,300256
741,300257
742,300258
743,300259
744,300261
745,300267
746,300268
747,300269
748,300276
749,300282
750,300287
751,300289
752,300296
753,300297
754,300298
755,300299
756,300303
757,300305
758,300315
759,300318
760,300319
761,300324
762,300326
763,300327
764,300330
765,300332
766,300341
767,300342
768,300345
769,300348
770,300349
771,300350
772,300353
773,300355
774,300362
775,300363
776,300368
777,300369
778,300373
779,300375
780,300377
781,300380
782,300382
783,300387
784,300384
785,600275
786,600277
787,600278
788,600280
789,600281
790,600284
791,2726
792,600285
793,603555
794,600291
795,600295
796,600297
797,603609
798,600298
799,600305
800,600307
801,600309
802,600313
803,600315
804,603699
805,600318
806,600325
807,600326
808,600330
809,600331
810,600332
811,600333
812,600335
813,600350
814,600351
815,600360
816,600362
817,600366
818,600367
819,600370
820,603993
821,600375
822,600378
823,600379
824,600380
825,600381
826,600382
827,600383
828,600387
829,600388
830,600389
831,600390
832,600392
833,600393
834,600395
835,600396
836,600400
837,600408
838,600415
839,600419
840,600421
841,600422
842,600426
843,600428
844,600429
845,600433
846,600436
847,600446
848,600449
849,600455
850,600458
851,600459
852,600461
853,600466
854,600475
855,600477
856,600481
857,600486
858,600497
859,600498
860,600500
861,600503
862,600509
863,600515
864,600517
865,600518
866,600521
867,600527
868,600528
869,600535
870,600536
871,600539
872,600543
873,600547
874,600549
875,600555
876,600557
877,600559
878,600565
879,600569
880,600571
881,600572
882,600575
883,600581
884,600583
885,600585
886,600586
887,600588
888,600590
889,600594
890,600595
891,600596
892,600600
893,600601
894,600602
895,600615
896,600616
897,600617
898,600620
899,600621
900,600623
901,600628
902,600629
903,600636
904,600637
905,600638
906,600640
907,600647
908,600648
909,600649
910,600651
911,600654
912,600660
913,600662
914,600663
915,600668
916,600676
917,600678
918,600679
919,600685
920,600688
921,600689
922,600693
923,600694
924,600695
925,600696
926,600697
927,600703
928,600705
929,600706
930,600708
931,600714
932,600719
933,600720
934,600722
935,600723
936,600726
937,600728
938,600731
