,0
0,平安银行
1,深华新
2,深物业A
3,南玻A
4,中冠A
5,深华发A
6,深赤湾A
7,深天地A
8,深圳能源
9,中粮地产
10,深桑达A
11,康达尔
12,德赛电池
13,方大集团
14,深赛格
15,深圳华强
16,华侨城A
17,特发信息
18,海王生物
19,深圳机场
20,天健集团
21,广聚能源
22,*ST川化
23,华数传媒
24,常山股份
25,国际实业
26,东方市场
27,潍柴动力
28,许继电气
29,华意压缩
30,胜利股份
31,金谷源
32,东旭光电
33,民生控股
34,小天鹅A
35,吉林化纤
36,南京中北
37,湖北宜化
38,晨鸣纸业
39,山东路桥
40,鄂武商A
41,南华生物
42,丽珠集团
43,国际医学
44,四环生物
45,美菱电器
46,广州浪奇
47,红太阳
48,银润投资
49,柳工
50,大冷股份
51,皖能电力
52,中原环保
53,江铃汽车
54,沙隆达A
55,*ST广夏
56,万向钱潮
57,昆百大A
58,陕国投A
59,西安民生
60,泸州老窖
61,海马汽车
62,粤宏远A
63,威孚高科
64,北部湾港
65,友利控股
66,汇源通信
67,黔轮胎A
68,平潭发展
69,东北制药
70,兴蓉投资
71,青岛双星
72,建投能源
73,韶能股份
74,渤海股份
75,阳光股份
76,*ST蒙发
77,海螺型材
78,新华联
79,长安汽车
80,铜陵有色
81,三木集团
82,格力电器
83,金岭矿业
84,索芙特
85,金鸿能源
86,阳光城
87,中山公用
88,东北证券
89,恒天天鹅
90,宝新能源
91,亚太实业
92,华泽钴镍
93,模塑科技
94,厦门信达
95,恒逸石化
96,丰乐种业
97,中兴商业
98,黑芝麻
99,湖南发展
100,鲁泰A
101,燕京啤酒
102,国海证券
103,锌业股份
104,西藏发展
105,新华制药
106,中色股份
107,中百集团
108,斯太尔
109,西藏矿业
110,漳泽电力
111,广发证券
112,新兴铸管
113,平庄能源
114,北新建材
115,万年青
116,甘肃电投
117,盐湖股份
118,太原刚玉
119,易食股份
120,一汽轿车
121,云铝股份
122,创维数字
123,烟台冰轮
124,*ST美利
125,方大化工
126,岳阳兴长
127,金城股份
128,京山轻机
129,超声电子
130,太钢不锈
131,桑德环境
132,鲁西化工
133,五矿稀土
134,贵糖股份
135,长城动漫
136,秦川机床
137,中信国安
138,承德露露
139,冀东装备
140,五粮液
141,顺鑫农业
142,三湘股份
143,云南铜业
144,大连国际
145,海南高速
146,茂业物流
147,双汇发展
148,鞍钢股份
149,赣能股份
150,现代投资
151,航天科技
152,大亚科技
153,钱江摩托
154,山大华特
155,南方汇通
156,海信科龙
157,*ST夏利
158,神火股份
159,四川双马
160,华西股份
161,紫光股份
162,凯迪电力
163,中通客车
164,锡业股份
165,华东医药
166,长源电力
167,上风高科
168,煤气化
169,佛塑科技
170,*ST春晖
171,浪潮信息
172,中银绒业
173,广州友谊
174,九芝堂
175,闽东电力
176,隆平高科
177,华润三九
178,万通地产
179,大唐电信
180,金种子酒
181,江苏吴中
182,金宇集团
183,福日电子
184,有研新材
185,紫江企业
186,西藏药业
187,江苏阳光
188,浙江医药
189,浦发银行
190,中国国贸
191,上海机场
192,华能国际
193,华夏银行
194,民生银行
195,新和成
196,鸿达兴业
197,华邦颖泰
198,德豪润达
199,精功科技
200,华兰生物
201,盾安环境
202,永新股份
203,*ST霞客
204,中捷资源
205,科华生物
206,山东威达
207,七喜控股
208,思源电气
209,华帝股份
210,久联发展
211,双鹭药业
212,华孚色纺
213,兔宝宝
214,国光电器
215,宝鹰股份
216,同方国芯
217,三花股份
218,威尔泰
219,粤水电
220,宏润建设
221,华峰氨纶
222,东华软件
223,景兴纸业
224,黑猫股份
225,獐子岛
226,众和股份
227,软控股份
228,雪莱特
229,中材科技
230,金螳螂
231,栋梁新材
232,鲁阳股份
233,新海宜
234,青岛金王
235,南岭民爆
236,海翔药业
237,广博股份
238,沧州明珠
239,三钢闽光
240,威海广泰
241,罗平锌电
242,天马股份
243,天邦股份
244,露天煤业
245,利欧股份
246,恒星科技
247,广宇集团
248,天津普林
249,东南网架
250,宁波银行
251,荣盛发展
252,广电运通
253,石基信息
254,常铝股份
255,远望谷
256,深圳惠程
257,芭田股份
258,千足珍珠
259,游族网络
260,江特电机
261,海得控制
262,劲嘉股份
263,武汉凡谷
264,二三四五
265,海亮股份
