DATE,AAA,,,,AAA,BAA,BAA-AAA,default premium
1/1/1919,5.35,,,1/1/1994,6.92,7.65,0.73,0.000608333
2/1/1919,5.35,,,2/1/1994,7.08,7.76,0.68,0.000566667
3/1/1919,5.39,,,3/1/1994,7.48,8.13,0.65,0.000541667
4/1/1919,5.44,,,4/1/1994,7.88,8.52,0.64,0.000533333
5/1/1919,5.39,,,5/1/1994,7.99,8.62,0.63,0.000525
6/1/1919,5.4,,,6/1/1994,7.97,8.65,0.68,0.000566667
7/1/1919,5.44,,,7/1/1994,8.11,8.8,0.69,0.000575
8/1/1919,5.56,,,8/1/1994,8.07,8.74,0.67,0.000558333
9/1/1919,5.6,,,9/1/1994,8.34,8.98,0.64,0.000533333
10/1/1919,5.54,,,10/1/1994,8.57,9.2,0.63,0.000525
11/1/1919,5.66,,,11/1/1994,8.68,9.32,0.64,0.000533333
12/1/1919,5.73,,,12/1/1994,8.46,9.1,0.64,0.000533333
1/1/1920,5.75,,,1/1/1995,8.46,9.08,0.62,0.000516667
2/1/1920,5.86,,,2/1/1995,8.26,8.85,0.59,0.000491667
3/1/1920,5.92,,,3/1/1995,8.12,8.7,0.58,0.000483333
4/1/1920,6.04,,,4/1/1995,8.03,8.6,0.57,0.000475
5/1/1920,6.25,,,5/1/1995,7.65,8.2,0.55,0.000458333
6/1/1920,6.38,,,6/1/1995,7.3,7.9,0.6,0.0005
7/1/1920,6.34,,,7/1/1995,7.41,8.04,0.63,0.000525
8/1/1920,6.3,,,8/1/1995,7.57,8.19,0.62,0.000516667
9/1/1920,6.22,,,9/1/1995,7.32,7.93,0.61,0.000508333
10/1/1920,6.05,,,10/1/1995,7.12,7.75,0.63,0.000525
11/1/1920,6.08,,,11/1/1995,7.02,7.68,0.66,0.00055
12/1/1920,6.26,,,12/1/1995,6.82,7.49,0.67,0.000558333
1/1/1921,6.14,,,1/1/1996,6.81,7.47,0.66,0.00055
2/1/1921,6.08,,,2/1/1996,6.99,7.63,0.64,0.000533333
3/1/1921,6.08,,,3/1/1996,7.35,8.03,0.68,0.000566667
4/1/1921,6.06,,,4/1/1996,7.5,8.19,0.69,0.000575
5/1/1921,6.11,,,5/1/1996,7.62,8.3,0.68,0.000566667
6/1/1921,6.18,,,6/1/1996,7.71,8.4,0.69,0.000575
7/1/1921,6.12,,,7/1/1996,7.65,8.35,0.7,0.000583333
8/1/1921,5.99,,,8/1/1996,7.46,8.18,0.72,0.0006
9/1/1921,5.93,,,9/1/1996,7.66,8.35,0.69,0.000575
10/1/1921,5.84,,,10/1/1996,7.39,8.07,0.68,0.000566667
11/1/1921,5.6,,,11/1/1996,7.1,7.79,0.69,0.000575
12/1/1921,5.5,,,12/1/1996,7.2,7.89,0.69,0.000575
1/1/1922,5.34,,,1/1/1997,7.42,8.09,0.67,0.000558333
2/1/1922,5.29,,,2/1/1997,7.31,7.94,0.63,0.000525
3/1/1922,5.23,,,3/1/1997,7.55,8.18,0.63,0.000525
4/1/1922,5.15,,,4/1/1997,7.73,8.34,0.61,0.000508333
5/1/1922,5.13,,,5/1/1997,7.58,8.2,0.62,0.000516667
6/1/1922,5.08,,,6/1/1997,7.41,8.02,0.61,0.000508333
7/1/1922,5,,,7/1/1997,7.14,7.75,0.61,0.000508333
8/1/1922,4.96,,,8/1/1997,7.22,7.82,0.6,0.0005
9/1/1922,4.93,,,9/1/1997,7.15,7.7,0.55,0.000458333
10/1/1922,4.97,,,10/1/1997,7,7.57,0.57,0.000475
11/1/1922,5.09,,,11/1/1997,6.87,7.42,0.55,0.000458333
