DATE,BAA,,
1/1/1919,7.12,,
2/1/1919,7.2,,
3/1/1919,7.15,,
4/1/1919,7.23,,
5/1/1919,7.09,,
6/1/1919,7.04,,
7/1/1919,7.06,,
8/1/1919,7.13,,
9/1/1919,7.27,,
10/1/1919,7.34,,
11/1/1919,7.54,,
12/1/1919,7.77,,
1/1/1920,7.78,,
2/1/1920,7.94,,
3/1/1920,7.97,,
4/1/1920,8.17,,
5/1/1920,8.39,,
6/1/1920,8.39,,
7/1/1920,8.52,,
8/1/1920,8.39,,
9/1/1920,8.14,,
10/1/1920,7.99,,
11/1/1920,8.21,,
12/1/1920,8.56,,
1/1/1921,8.5,,
2/1/1921,8.42,,
3/1/1921,8.55,,
4/1/1921,8.53,,
5/1/1921,8.52,,
6/1/1921,8.56,,
7/1/1921,8.48,,
8/1/1921,8.51,,
9/1/1921,8.34,,
10/1/1921,8.34,,
11/1/1921,7.88,,
12/1/1921,7.61,,
1/1/1922,7.7,,
2/1/1922,7.55,,
3/1/1922,7.45,,
4/1/1922,7.14,,
5/1/1922,6.89,,
6/1/1922,6.97,,
7/1/1922,6.89,,
8/1/1922,6.85,,
9/1/1922,6.75,,
10/1/1922,6.78,,
11/1/1922,6.98,,
12/1/1922,7.02,,
1/1/1923,6.98,,
2/1/1923,6.97,,
3/1/1923,7.09,,
4/1/1923,7.17,,
5/1/1923,7.17,,
6/1/1923,7.21,,
7/1/1923,7.34,,
8/1/1923,7.38,,
9/1/1923,7.38,,
10/1/1923,7.46,,
11/1/1923,7.4,,
12/1/1923,7.38,,
1/1/1924,7.24,,
2/1/1924,7.14,,
3/1/1924,7.08,,
4/1/1924,7.03,,
5/1/1924,6.97,,
6/1/1924,6.82,,
7/1/1924,6.67,,
8/1/1924,6.69,,
9/1/1924,6.73,,
10/1/1924,6.62,,
11/1/1924,6.54,,
12/1/1924,6.46,,
1/1/1925,6.44,,
2/1/1925,6.36,,
3/1/1925,6.36,,
4/1/1925,6.41,,
5/1/1925,6.3,,
6/1/1925,6.18,,
7/1/1925,6.2,,
8/1/1925,6.24,,
9/1/1925,6.2,,
10/1/1925,6.17,,
11/1/1925,6.17,,
12/1/1925,6.15,,
1/1/1926,6.09,,
2/1/1926,6.02,,
3/1/1926,6.05,,
4/1/1926,5.98,,
5/1/1926,5.86,,
6/1/1926,5.8,,
7/1/1926,5.79,,
8/1/1926,5.81,,
9/1/1926,5.79,,
10/1/1926,5.81,,
11/1/1926,5.77,,
12/1/1926,5.68,,
1/1/1927,5.61,,
2/1/1927,5.59,,
3/1/1927,5.54,,
4/1/1927,5.48,,
5/1/1927,5.5,,
6/1/1927,5.55,,
7/1/1927,5.55,,
8/1/1927,5.48,,
9/1/1927,5.42,,
10/1/1927,5.38,,
11/1/1927,5.35,,
12/1/1927,5.32,,
1/1/1928,5.35,,
2/1/1928,5.33,,
3/1/1928,5.32,,
4/1/1928,5.33,,
5/1/1928,5.42,,
6/1/1928,5.55,,
7/1/1928,5.58,,
8/1/1928,5.61,,
9/1/1928,5.59,,
10/1/1928,5.58,,
11/1/1928,5.55,,
12/1/1928,5.6,,
1/1/1929,5.63,,
2/1/1929,5.66,,
3/1/1929,5.79,,
4/1/1929,5.8,,
5/1/1929,5.8,,
6/1/1929,5.94,,
7/1/1929,5.95,,
8/1/1929,6.04,,
9/1/1929,6.12,,
10/1/1929,6.11,,
11/1/1929,6.03,,
12/1/1929,5.95,,
1/1/1930,5.92,,
2/1/1930,5.89,,
3/1/1930,5.73,,
4/1/1930,5.7,,
5/1/1930,5.72,,
6/1/1930,5.78,,
7/1/1930,5.77,,
8/1/1930,5.73,,
9/1/1930,5.65,,
10/1/1930,5.94,,
11/1/1930,6.25,,
12/1/1930,6.71,,
1/1/1931,6.41,,
2/1/1931,6.38,,
3/1/1931,6.44,,
4/1/1931,6.72,,
5/1/1931,7.15,,
6/1/1931,7.36,,
7/1/1931,7.08,,
8/1/1931,7.47,,
9/1/1931,8.07,,
10/1/1931,9.04,,
11/1/1931,8.93,,
12/1/1931,10.42,,
1/1/1932,9.13,,
2/1/1932,8.87,,
3/1/1932,8.83,,
4/1/1932,10.46,,
5/1/1932,11,,
6/1/1932,11,,
7/1/1932,10.79,,
8/1/1932,8.22,,
9/1/1932,7.61,,
10/1/1932,7.87,,
11/1/1932,8.24,,
12/1/1932,8.42,,
1/1/1933,8.01,,
2/1/1933,8.37,,
3/1/1933,8.91,,
4/1/1933,9.12,,
5/1/1933,7.74,,
6/1/1933,7.07,,
7/1/1933,6.62,,
8/1/1933,6.77,,
9/1/1933,7.27,,
10/1/1933,7.49,,
11/1/1933,7.98,,
12/1/1933,7.75,,
1/1/1934,7.01,,
2/1/1934,6.27,,
3/1/1934,6.26,,
4/1/1934,6.01,,
5/1/1934,6.05,,
6/1/1934,6.06,,
7/1/1934,6.13,,
8/1/1934,6.49,,
9/1/1934,6.57,,
10/1/1934,6.4,,
11/1/1934,6.37,,
12/1/1934,6.23,,
1/1/1935,5.98,,
2/1/1935,5.95,,
3/1/1935,6.2,,
4/1/1935,6.13,,
5/1/1935,5.94,,
6/1/1935,5.77,,
7/1/1935,5.67,,
8/1/1935,5.58,,
9/1/1935,5.53,,
10/1/1935,5.54,,
11/1/1935,5.43,,
12/1/1935,5.3,,
1/1/1936,5,,
2/1/1936,4.8,,
3/1/1936,4.86,,
4/1/1936,4.91,,
5/1/1936,4.94,,
6/1/1936,4.9,,
7/1/1936,4.84,,
8/1/1936,4.74,,
9/1/1936,4.62,,
10/1/1936,4.54,,
11/1/1936,4.52,,
12/1/1936,4.53,,
1/1/1937,4.49,,
2/1/1937,4.53,,
3/1/1937,4.68,,
4/1/1937,4.84,,
5/1/1937,4.84,,
6/1/1937,4.93,,
7/1/1937,4.91,,
8/1/1937,4.92,,
9/1/1937,5.16,,
10/1/1937,5.52,,
11/1/1937,5.82,,
12/1/1937,5.73,,
1/1/1938,5.89,,
2/1/1938,5.97,,
3/1/1938,6.3,,
4/1/1938,6.47,,
5/1/1938,6.06,,
6/1/1938,6.25,,
7/1/1938,5.63,,
8/1/1938,5.49,,
9/1/1938,5.65,,
10/1/1938,5.36,,
11/1/1938,5.23,,
12/1/1938,5.27,,
