DATE,TB3MS
01/01/1934,0.72
02/01/1934,0.62
03/01/1934,0.24
04/01/1934,0.15
05/01/1934,0.16
06/01/1934,0.15
07/01/1934,0.15
08/01/1934,0.19
09/01/1934,0.21
10/01/1934,0.27
11/01/1934,0.25
12/01/1934,0.23
01/01/1935,0.20
02/01/1935,0.19
03/01/1935,0.15
04/01/1935,0.15
05/01/1935,0.15
06/01/1935,0.15
07/01/1935,0.15
08/01/1935,0.16
09/01/1935,0.20
10/01/1935,0.20
11/01/1935,0.16
12/01/1935,0.15
01/01/1936,0.20
02/01/1936,0.20
03/01/1936,0.20
04/01/1936,0.20
05/01/1936,0.20
06/01/1936,0.20
07/01/1936,0.15
08/01/1936,0.20
09/01/1936,0.16
10/01/1936,0.13
11/01/1936,0.11
12/01/1936,0.12
01/01/1937,0.17
02/01/1937,0.15
03/01/1937,0.38
04/01/1937,0.56
05/01/1937,0.41
06/01/1937,0.36
07/01/1937,0.28
08/01/1937,0.29
09/01/1937,0.31
10/01/1937,0.20
11/01/1937,0.09
12/01/1937,0.11
01/01/1938,0.10
02/01/1938,0.08
03/01/1938,0.08
04/01/1938,0.09
05/01/1938,0.05
06/01/1938,0.05
07/01/1938,0.07
08/01/1938,0.06
09/01/1938,0.08
10/01/1938,0.05
11/01/1938,0.04
12/01/1938,0.03
01/01/1939,0.03
02/01/1939,0.03
03/01/1939,0.03
04/01/1939,0.03
05/01/1939,0.03
06/01/1939,0.03
07/01/1939,0.04
08/01/1939,0.05
09/01/1939,0.14
10/01/1939,0.05
11/01/1939,0.05
12/01/1939,0.04
01/01/1940,0.01
02/01/1940,0.02
03/01/1940,0.02
04/01/1940,0.02
05/01/1940,0.06
06/01/1940,0.10
07/01/1940,0.05
08/01/1940,0.04
09/01/1940,0.05
10/01/1940,0.02
11/01/1940,0.02
12/01/1940,0.02
01/01/1941,0.02
02/01/1941,0.04
03/01/1941,0.11
04/01/1941,0.10
05/01/1941,0.11
06/01/1941,0.12
07/01/1941,0.12
08/01/1941,0.13
09/01/1941,0.10
10/01/1941,0.09
11/01/1941,0.28
12/01/1941,0.33
01/01/1942,0.27
02/01/1942,0.25
03/01/1942,0.25
04/01/1942,0.32
05/01/1942,0.37
06/01/1942,0.37
07/01/1942,0.38
08/01/1942,0.38
09/01/1942,0.38
10/01/1942,0.38
11/01/1942,0.38
12/01/1942,0.38
01/01/1943,0.38
02/01/1943,0.38
03/01/1943,0.38
04/01/1943,0.38
05/01/1943,0.38
06/01/1943,0.38
07/01/1943,0.38
08/01/1943,0.38
09/01/1943,0.38
10/01/1943,0.38
11/01/1943,0.38
12/01/1943,0.38
01/01/1944,0.38
02/01/1944,0.38
03/01/1944,0.38
04/01/1944,0.38
05/01/1944,0.38
06/01/1944,0.38
07/01/1944,0.38
08/01/1944,0.38
09/01/1944,0.38
10/01/1944,0.38
11/01/1944,0.38
12/01/1944,0.38
01/01/1945,0.38
02/01/1945,0.38
03/01/1945,0.38
04/01/1945,0.38
05/01/1945,0.38
06/01/1945,0.38
07/01/1945,0.38
08/01/1945,0.38
09/01/1945,0.38
10/01/1945,0.38
11/01/1945,0.38
12/01/1945,0.38
01/01/1946,0.38
02/01/1946,0.38
03/01/1946,0.38
04/01/1946,0.38
05/01/1946,0.38
06/01/1946,0.38
07/01/1946,0.38
08/01/1946,0.38
09/01/1946,0.38
10/01/1946,0.38
11/01/1946,0.38
12/01/1946,0.38
01/01/1947,0.38
02/01/1947,0.38
03/01/1947,0.38
04/01/1947,0.38
05/01/1947,0.38
06/01/1947,0.38
07/01/1947,0.66
08/01/1947,0.75
09/01/1947,0.80
10/01/1947,0.85
11/01/1947,0.92
12/01/1947,0.95
01/01/1948,0.97
02/01/1948,1.00
03/01/1948,1.00
04/01/1948,1.00
05/01/1948,1.00
06/01/1948,1.00
07/01/1948,1.00
08/01/1948,1.06
09/01/1948,1.09
10/01/1948,1.12
11/01/1948,1.14
12/01/1948,1.16
01/01/1949,1.17
02/01/1949,1.17
03/01/1949,1.17
04/01/1949,1.17
05/01/1949,1.17
06/01/1949,1.17
07/01/1949,1.02
08/01/1949,1.04
09/01/1949,1.07
10/01/1949,1.05
11/01/1949,1.08
12/01/1949,1.10
01/01/1950,1.07
02/01/1950,1.12
03/01/1950,1.12
04/01/1950,1.15
05/01/1950,1.16
06/01/1950,1.15
07/01/1950,1.16
08/01/1950,1.20
09/01/1950,1.30
10/01/1950,1.31
11/01/1950,1.36
12/01/1950,1.34
01/01/1951,1.34
02/01/1951,1.36
03/01/1951,1.40
04/01/1951,1.47
05/01/1951,1.55
06/01/1951,1.45
07/01/1951,1.56
08/01/1951,1.62
09/01/1951,1.63
10/01/1951,1.54
11/01/1951,1.56
12/01/1951,1.73
01/01/1952,1.57
02/01/1952,1.54
03/01/1952,1.59
04/01/1952,1.57
05/01/1952,1.67
06/01/1952,1.70
07/01/1952,1.81
08/01/1952,1.83
09/01/1952,1.71
10/01/1952,1.74
11/01/1952,1.85
12/01/1952,2.09
01/01/1953,1.96
02/01/1953,1.97
03/01/1953,2.01
04/01/1953,2.19
05/01/1953,2.16
06/01/1953,2.11
07/01/1953,2.04
08/01/1953,2.04
09/01/1953,1.79
10/01/1953,1.38
11/01/1953,1.44
12/01/1953,1.60
01/01/1954,1.18
02/01/1954,0.97
03/01/1954,1.03
04/01/1954,0.97
05/01/1954,0.76
06/01/1954,0.64
07/01/1954,0.72
08/01/1954,0.92
09/01/1954,1.01
10/01/1954,0.98
11/01/1954,0.93
12/01/1954,1.15
01/01/1955,1.22
02/01/1955,1.17
03/01/1955,1.28
04/01/1955,1.59
05/01/1955,1.45
06/01/1955,1.41
07/01/1955,1.60
08/01/1955,1.90
09/01/1955,2.07
10/01/1955,2.23
11/01/1955,2.24
12/01/1955,2.54
01/01/1956,2.41
02/01/1956,2.32
03/01/1956,2.25
04/01/1956,2.60
05/01/1956,2.61
06/01/1956,2.49
07/01/1956,2.31
08/01/1956,2.60
09/01/1956,2.84
10/01/1956,2.90
11/01/1956,2.99
12/01/1956,3.21
01/01/1957,3.11
02/01/1957,3.10
03/01/1957,3.08
04/01/1957,3.07
05/01/1957,3.06
06/01/1957,3.29
07/01/1957,3.16
08/01/1957,3.37
09/01/1957,3.53
10/01/1957,3.58
11/01/1957,3.31
12/01/1957,3.04
01/01/1958,2.44
02/01/1958,1.53
03/01/1958,1.30
04/01/1958,1.13
05/01/1958,0.91
06/01/1958,0.83
07/01/1958,0.91
08/01/1958,1.69
09/01/1958,2.44
10/01/1958,2.63
11/01/1958,2.67
12/01/1958,2.77
01/01/1959,2.82
02/01/1959,2.70
03/01/1959,2.80
04/01/1959,2.95
05/01/1959,2.84
06/01/1959,3.21
07/01/1959,3.20
08/01/1959,3.38
09/01/1959,4.04
10/01/1959,4.05
11/01/1959,4.15
12/01/1959,4.49
01/01/1960,4.35
02/01/1960,3.96
03/01/1960,3.31
04/01/1960,3.23
05/01/1960,3.29
06/01/1960,2.46
07/01/1960,2.30
08/01/1960,2.30
09/01/1960,2.48
10/01/1960,2.30
11/01/1960,2.37
12/01/1960,2.25
01/01/1961,2.24
02/01/1961,2.42
03/01/1961,2.39
04/01/1961,2.29
05/01/1961,2.29
06/01/1961,2.33
07/01/1961,2.24
08/01/1961,2.39
09/01/1961,2.28
10/01/1961,2.30
11/01/1961,2.48
12/01/1961,2.60
01/01/1962,2.72
02/01/1962,2.73
03/01/1962,2.72
04/01/1962,2.73
05/01/1962,2.69
06/01/1962,2.73
07/01/1962,2.92
08/01/1962,2.82
09/01/1962,2.78
10/01/1962,2.74
11/01/1962,2.83
12/01/1962,2.87
01/01/1963,2.91
02/01/1963,2.92
03/01/1963,2.89
04/01/1963,2.90
05/01/1963,2.93
06/01/1963,2.99
07/01/1963,3.18
08/01/1963,3.32
09/01/1963,3.38
10/01/1963,3.45
11/01/1963,3.52
12/01/1963,3.52
01/01/1964,3.52
02/01/1964,3.53
03/01/1964,3.54
04/01/1964,3.47
05/01/1964,3.48
06/01/1964,3.48
07/01/1964,3.46
08/01/1964,3.50
09/01/1964,3.53
10/01/1964,3.57
11/01/1964,3.64
12/01/1964,3.84
01/01/1965,3.81
02/01/1965,3.93
03/01/1965,3.93
04/01/1965,3.93
05/01/1965,3.89
06/01/1965,3.80
07/01/1965,3.84
08/01/1965,3.84
09/01/1965,3.92
10/01/1965,4.03
11/01/1965,4.09
12/01/1965,4.38
01/01/1966,4.59
02/01/1966,4.65
03/01/1966,4.59
04/01/1966,4.62
05/01/1966,4.64
06/01/1966,4.50
07/01/1966,4.80
08/01/1966,4.96
09/01/1966,5.37
10/01/1966,5.35
11/01/1966,5.32
12/01/1966,4.96
01/01/1967,4.72
02/01/1967,4.56
03/01/1967,4.26
04/01/1967,3.84
05/01/1967,3.60
06/01/1967,3.54
07/01/1967,4.21
08/01/1967,4.27
09/01/1967,4.42
10/01/1967,4.56
11/01/1967,4.73
12/01/1967,4.97
01/01/1968,5.00
02/01/1968,4.98
03/01/1968,5.17
04/01/1968,5.38
05/01/1968,5.66
06/01/1968,5.52
07/01/1968,5.31
08/01/1968,5.09
09/01/1968,5.19
10/01/1968,5.35
