Date,Open,High,Low,Close,Volume,AdjClose
9/27/2013,755.6,755.6,751.38,753.51,2951700000,753.51
9/26/2013,754.67,759.42,754.25,756.66,2813930000,756.66
9/25/2013,757.02,758.32,753.83,754.33,3148730000,754.33
9/24/2013,760.39,761.71,756.36,756.88,3268930000,756.88
9/23/2013,764.86,764.86,758.18,760.06,3126950000,760.06
9/20/2013,768.62,769.99,762.86,763.23,5074030000,763.23
9/19/2013,770.76,771.65,767.72,768.72,3740130000,768.72
9/18/2013,761.47,772.02,759.34,769.98,3989760000,769.98
9/17/2013,757.55,761.49,757.55,760.88,2774240000,760.88
9/16/2013,755.01,760.85,755.01,757.64,3079800000,757.64
9/13/2013,752.91,754.82,751.91,754.07,2736500000,754.07
9/12/2013,754.33,754.66,751.49,752.19,3106290000,752.19
9/11/2013,750.03,754.13,749.72,754.13,3135460000,754.13
9/10/2013,747.24,752.21,747.24,752.12,3691800000,752.12
9/9/2013,740.2,746.84,740.2,746.51,3102780000,746.51
9/6/2013,740.69,743.77,733.06,739.53,3123880000,739.53
9/5/2013,739.09,741.48,739.05,739.81,2957110000,739.81
9/4/2013,734.07,740.35,732.72,738.87,3312150000,738.87
9/3/2013,731.54,738.19,730.8,733.31,3731610000,733.31
8/30/2013,733.11,733.72,728.63,730.92,2734300000,730.92
8/29/2013,731.67,737.28,730.68,732.96,2527550000,732.96
8/28/2013,729.56,734.99,728.77,732.02,2784010000,732.02
8/27/2013,739.81,739.81,729,729.71,3219190000,729.71
8/26/2013,744.47,746.7,740.72,740.93,2430670000,740.93
8/23/2013,742.45,744.65,740.3,744.04,2582670000,744.04
8/22/2013,736.46,741.77,736.46,740.67,2537460000,740.67
8/21/2013,739.21,741.84,734.06,735.43,2932180000,735.43
8/20/2013,739,742.9,738.23,739.59,2994090000,739.59
8/19/2013,742.46,744.12,738.57,738.7,2904530000,738.7
8/16/2013,744.68,745.79,740.76,742.38,3211450000,742.38
8/15/2013,752.11,752.11,743.26,744.57,3426690000,744.57
8/14/2013,758.85,759.78,754.46,754.94,2871430000,754.94
8/13/2013,756.51,759.76,753.25,758.62,3035560000,758.62
8/12/2013,755.38,756.77,753,756.08,2789160000,756.08
8/9/2013,759.45,760.49,753.81,756.27,2957670000,756.27
8/8/2013,758.59,761.69,755.98,760.14,3271660000,760.14
8/7/2013,759.58,759.58,754.73,757.84,3010230000,757.84
8/6/2013,763.92,763.92,758.19,760.05,3141210000,760.05
8/5/2013,765.2,765.36,762.73,764.3,2529300000,764.3
8/2/2013,763.61,765.7,761.01,765.7,3136630000,765.7
8/1/2013,756.57,764.08,756.57,763.74,3775170000,763.74
7/31/2013,756.96,761.22,754.98,755.23,3847390000,755.23
7/30/2013,757.53,760.28,755.01,756.31,3320530000,756.31
7/29/2013,758.88,758.88,755.15,756.6,2840520000,756.6
7/26/2013,757.47,759.26,752.07,759.16,2762770000,759.16
7/25/2013,757.08,758.35,753.7,758,3322500000,758
7/24/2013,761.33,762.05,755.92,757.42,3336120000,757.42
7/23/2013,759.68,761.05,758.07,758.65,3096180000,758.65
7/22/2013,758.39,760.24,756.95,759.38,2779130000,759.38
7/19/2013,754.82,757.52,754.25,757.51,3302580000,757.51
7/18/2013,753.74,759.23,753.74,757,3452370000,757
7/17/2013,752.44,755.85,752.44,754.08,3153440000,754.08
7/16/2013,753.99,754.49,750.19,752.07,3081710000,752.07
7/15/2013,752.53,755.02,751.9,754.01,2623200000,754.01
7/12/2013,751.19,752.94,749.4,752.94,3039070000,752.94
7/11/2013,743.07,752.12,743.07,751.15,3446340000,751.15
7/10/2013,741.83,744.44,739.91,741.57,3011010000,741.57
7/9/2013,737.77,743.06,737.77,742.13,3155360000,742.13
7/8/2013,733.53,738.69,733.53,737.01,3514590000,737.01
7/5/2013,726.36,732.98,725.51,732.91,2634140000,732.91
7/3/2013,724.02,727.09,720.52,725.42,1966050000,725.42
7/2/2013,724.24,729.25,721.1,724.57,3317130000,724.57
7/1/2013,721.93,729.97,721.93,724.36,3104690000,724.36
6/28/2013,723.6,725.14,718.75,720.62,4977190000,720.62
6/27/2013,722.02,728.28,722.02,724.52,3364540000,724.52
6/26/2013,716.15,722.64,716.15,721.04,3558340000,721.04
6/25/2013,710.5,717.29,710.25,714.45,3761170000,714.45
6/24/2013,716.06,716.06,703.39,708.77,4733660000,708.77
6/21/2013,715.6,720.53,711.56,717.58,5797280000,717.58
6/20/2013,732.02,732.02,713.95,715.69,4858850000,715.69
6/19/2013,743.13,743.84,733.49,733.49,3545060000,733.49
6/18/2013,737.83,744.28,737.83,743.12,3120980000,743.12
6/17/2013,733.38,741.35,733.38,737.6,3137080000,737.6
6/14/2013,736.83,738.74,731.19,732.1,2939400000,732.1
6/13/2013,727.58,738.59,725.25,737.25,3378620000,737.25
6/12/2013,734.71,738.72,726.84,727.71,3202550000,727.71
6/11/2013,739.43,739.52,732.22,733.37,3435710000,733.37
6/10/2013,741.12,743.53,739.38,740.85,2978730000,740.85
6/7/2013,732.13,741.08,732.13,740.6,3371990000,740.6
6/6/2013,726.6,731.48,720.55,731.48,3547380000,731.48
6/5/2013,735.23,735.52,725.5,726.4,3632350000,726.4
6/4/2013,740.02,743.08,732.59,736.19,3653840000,736.19
6/3/2013,733.91,739.74,731.73,739.74,3952070000,739.74
5/31/2013,743.94,746.53,733.63,733.63,4099600000,733.63
5/30/2013,742.76,748.07,742.24,744.6,3498620000,744.6
5/29/2013,746.06,746.06,738.54,742.28,3587140000,742.28
5/28/2013,743.39,753.25,743.39,747.09,3457400000,747.09
5/24/2013,740.61,742.5,736.93,742.42,2758080000,742.42
5/23/2013,742.78,744.47,735.81,741.94,3945510000,741.94
5/22/2013,749.09,757.61,741.5,744.21,4361020000,744.21
5/21/2013,747.07,751.5,745.78,748.89,3513560000,748.89
5/20/2013,746.96,750.09,745.79,747.3,3275080000,747.3
5/17/2013,741.81,747.72,741.81,747.72,3440710000,747.72
5/16/2013,742.82,745.01,739.99,740.8,3513130000,740.8
5/15/2013,739.41,744.7,738.26,743.52,3657440000,743.52
5/14/2013,733.16,740.1,733.16,739.74,3457790000,739.74
5/13/2013,732.29,734.19,730.07,733.33,2910600000,733.33
5/10/2013,730.43,732.85,728.64,732.85,3086470000,732.85
5/9/2013,733.33,734.37,728.7,730.42,3457400000,730.42
5/8/2013,730.13,733.42,728.34,733.33,3554700000,733.33
5/7/2013,727.15,730.3,726.22,730.13,3309580000,730.13
5/6/2013,725.64,728.25,725.64,727.15,3062240000,727.15
5/3/2013,719.29,727.85,719.29,725.65,3603910000,725.65
5/2/2013,712.79,719.74,712.79,719.21,3366950000,719.21
5/1/2013,718.98,718.98,712.04,712.79,3530320000,712.79
4/30/2013,717.37,719.09,714.06,718.98,3745070000,718.98
4/29/2013,712.43,718.9,712.43,717.37,2891200000,717.37
4/26/2013,712.37,714.06,709.76,712.4,3198620000,712.4
4/25/2013,710.37,715.66,710.37,712.37,3908580000,712.37
4/24/2013,711.89,712.57,709.28,710.37,3598240000,710.37
4/23/2013,704.45,712.32,704.44,711.89,3565150000,711.89
4/22/2013,700.82,705.55,698.14,704.45,2979880000,704.45
4/19/2013,695.1,701.15,693.7,700.82,3569870000,700.82
4/18/2013,700.19,701.15,692.75,695.1,3890800000,695.1
4/17/2013,710.1,710.1,696.6,700.19,4250310000,700.19
4/16/2013,700.65,710.51,700.65,710.1,3654700000,710.1
4/15/2013,715.38,715.38,700.57,700.65,4660130000,700.65
4/12/2013,716.94,716.94,711.31,715.38,3206290000,715.38
4/11/2013,714.74,718.4,713.16,716.94,3393950000,716.94
4/10/2013,705.99,715.68,705.99,714.74,3453350000,714.74
4/9/2013,703.1,708.41,702.54,705.99,3252780000,705.99
4/8/2013,699.49,703.1,697.35,703.1,2887120000,703.1
4/5/2013,702.97,702.97,693.79,699.49,3515410000,699.49
4/4/2013,700.55,704.31,699.66,702.97,3350670000,702.97
4/3/2013,707.05,707.74,698.8,700.55,4060610000,700.55
4/2/2013,702.17,708.17,702.17,707.05,3312160000,707.05
4/1/2013,704.57,705.49,700.56,702.17,2753110000,702.17
3/28/2013,702.92,705.08,701.97,704.57,3304440000,704.57
3/27/2013,703.74,703.74,698.56,702.92,2914210000,702.92
3/26/2013,698.29,703.84,698.29,703.74,2869260000,703.74
3/25/2013,700.57,704.11,695.87,698.29,3178170000,698.29
3/22/2013,694.83,700.84,694.83,700.57,2948380000,700.57
3/21/2013,700.56,700.56,693.8,694.81,3243270000,694.81
3/20/2013,696.91,701.91,696.91,700.56,3349090000,700.56
3/19/2013,698,700.8,692.52,696.91,3796210000,696.91
3/18/2013,701.75,701.75,694.96,698,3164560000,698
3/15/2013,702.72,703.02,699.09,701.75,5175850000,701.75
3/14/2013,698.62,702.74,698.62,702.72,3459260000,702.72
3/13/2013,698.37,699.66,696.36,698.62,3073830000,698.62
3/12/2013,700.76,700.86,696.5,698.31,3274910000,698.31
3/11/2013,698.27,700.81,696.47,700.76,3091080000,700.76
3/8/2013,695.82,698.88,694.61,698.27,3652260000,698.27
3/7/2013,694.15,696.54,694.15,695.82,3634710000,695.82
3/6/2013,693.27,695.56,692.39,694.15,3676890000,694.15
3/5/2013,686.52,695.04,686.52,693.27,3610690000,693.27
3/4/2013,683.65,686.54,681.01,686.52,3414430000,686.52
3/1/2013,682.53,684.77,676.85,683.65,3695610000,683.65
2/28/2013,683.66,687.36,682.38,682.53,3912320000,682.53
2/27/2013,675.9,685.65,674.51,683.66,3551850000,683.66
2/26/2013,671.75,676.9,670.88,675.9,3975280000,675.9
2/25/2013,683.62,688.66,671.74,671.75,4011050000,671.75
2/22/2013,678.36,683.65,678.36,683.62,3419320000,683.62
2/21/2013,681.95,681.95,676.11,678.36,4274600000,678.36
2/20/2013,689.26,689.26,681.61,681.95,4240570000,681.95
2/19/2013,683.97,689.27,683.97,689.26,3748910000,689.26
2/15/2013,684.94,686.29,681.37,683.97,3838510000,683.97
2/14/2013,684.02,685.82,681.46,684.94,3759740000,684.94
2/13/2013,683.6,686.03,681.87,684.02,3385880000,684.02
2/12/2013,682.75,685.08,681.82,683.6,3414370000,683.6
2/11/2013,683.04,683.38,681.27,682.75,2684100000,682.75
2/8/2013,679.68,683.78,679.68,683.04,2986150000,683.04
2/7/2013,681.18,681.28,674.91,679.68,3614580000,679.68
2/6/2013,681.16,681.6,678.1,681.03,3611570000,681.03
2/5/2013,673.77,683.01,673.77,681.16,3618360000,681.16
2/4/2013,681.74,681.74,673.38,673.77,3390000000,673.77
2/1/2013,674.89,682.25,674.89,681.74,3836320000,681.74
1/31/2013,677.1,678.59,674.68,674.89,3999880000,674.89
1/30/2013,679.84,680.59,676.25,677.1,3726810000,677.1
1/29/2013,676.19,680.81,675.47,679.84,3949640000,679.84
1/28/2013,677.15,677.73,674.57,676.19,3388540000,676.19
1/25/2013,673.97,677.76,673.97,677.15,3476290000,677.15
1/24/2013,675.77,677.82,671.85,673.97,3699430000,673.97
1/23/2013,673.58,676.44,673.54,675.77,3552010000,675.77
1/22/2013,671.37,673.58,668.71,673.58,3570950000,673.58
1/18/2013,669.33,671.37,666.67,671.37,3795740000,671.37
1/17/2013,666.92,671.41,666.92,669.33,3706710000,669.33
1/16/2013,666.04,667.59,664.48,666.92,3384080000,666.92
1/15/2013,666.35,666.57,663.02,666.04,3135350000,666.04
1/14/2013,667.88,667.88,664.42,666.35,3003010000,666.35
1/11/2013,667.59,668.28,665.85,667.88,3340650000,667.88
1/10/2013,663.97,667.8,662.56,667.59,4081840000,667.59
1/9/2013,661.14,664.4,660.95,662.24,3674390000,662.24
1/8/2013,663.09,663.09,658.73,661.14,3601600000,661.14
1/7/2013,664.69,664.69,660.57,663.09,3304970000,663.09
1/4/2013,662.33,665.45,661.59,664.69,3424290000,664.69
1/3/2013,663.87,664.77,660.45,662.33,3829730000,662.33
1/2/2013,646.61,663.87,646.61,663.87,4202600000,663.87
12/31/2012,636.17,646.91,633.93,646.61,3204330000,646.61
12/28/2012,643.58,643.58,635.73,636.17,2426680000,636.17
12/27/2012,644.54,645.75,636.25,643.58,2830180000,643.58
12/26/2012,646.99,648.32,642.41,644.54,2285030000,644.54
12/24/2012,648.96,648.96,646.09,646.99,1248960000,646.99
12/21/2012,655.36,655.36,645.23,648.96,5229160000,648.96
12/20/2012,652.01,655.38,650.67,655.36,3686580000,655.36
12/19/2012,657.48,657.95,651.99,652.01,3869800000,652.01
12/18/2012,650.18,658.2,649.94,657.48,4302240000,657.48
12/17/2012,642.39,650.35,642.39,650.12,3455610000,650.12
12/14/2012,646.27,646.27,641.52,642.42,3210170000,642.42
12/13/2012,650.51,651.62,644.66,646.27,3349960000,646.27
12/12/2012,650.29,655.28,649.76,650.51,3709050000,650.51
12/11/2012,645.66,653.74,645.66,650.29,3650230000,650.29
12/10/2012,645.82,647.63,644.56,645.66,2999430000,645.66
12/7/2012,644.39,647.35,642.7,645.82,3125160000,645.82
12/6/2012,642.09,644.47,640.3,644.39,3229700000,644.39
12/5/2012,641.97,645.59,637.36,642.09,4253920000,642.09
12/4/2012,643.37,644.87,640.63,641.91,3247710000,641.91
12/3/2012,646.39,649.97,642.91,643.37,3074280000,643.37
11/30/2012,646.4,647.69,644.19,646.39,3966000000,646.39
11/29/2012,643.67,648.49,643.29,646.4,3356850000,646.4
11/28/2012,638.44,643.86,632.05,643.67,3359250000,643.67
11/27/2012,642.33,643.2,638,638.46,3323120000,638.46
11/26/2012,643.05,643.05,637.69,642.33,2948960000,642.33
11/23/2012,634.42,643.05,634.42,643.05,1504960000,643.05
