Date,Open,High,Low,Close,Volume,Adj Close
2012-09-24,3155.35,3176.30,3080.28,3136.60,1777535000,3136.60
2012-09-17,3183.40,3196.93,3156.46,3179.96,1875778000,3179.96
2012-09-10,3131.34,3195.67,3098.82,3183.95,1741106000,3183.95
2012-09-04,3063.25,3139.61,3040.24,3136.42,1665132500,3136.42
2012-08-27,3083.62,3087.24,3040.59,3066.96,1328514000,3066.96
2012-08-20,3072.66,3100.54,3042.22,3069.79,1443700000,3069.79
2012-08-13,3018.27,3076.72,2999.12,3076.59,1607202000,3076.59
2012-08-06,2978.16,3028.61,2974.23,3020.86,1707302000,3020.86
2012-07-30,2959.07,2977.41,2890.85,2967.90,1712158000,2967.90
2012-07-23,2877.51,2961.87,2839.76,2958.09,1844766000,2958.09
2012-07-16,2903.03,2976.22,2871.65,2925.30,1710402000,2925.30
2012-07-09,2934.49,2953.47,2837.72,2908.47,1581886000,2908.47
2012-07-02,2938.41,2987.94,2921.37,2937.33,1428995000,2937.33
2012-06-25,2863.89,2935.13,2818.19,2935.05,1724642000,2935.05
2012-06-18,2872.49,2942.28,2853.86,2892.42,2070192000,2892.42
2012-06-11,2882.49,2882.96,2802.38,2872.80,1666016000,2872.80
2012-06-04,2747.61,2873.59,2726.68,2858.42,1637606000,2858.42
2012-05-29,2853.27,2882.83,2747.24,2747.48,1509742500,2747.48
2012-05-21,2782.55,2867.34,2774.76,2837.53,1738976000,2837.53
2012-05-14,2907.78,2930.68,2774.45,2778.79,2030600000,2778.79
2012-05-07,2940.41,2970.20,2900.06,2933.82,1940578000,2933.82
2012-04-30,3060.06,3085.40,2956.34,2956.34,1825146000,2956.34
2012-04-23,2969.00,3076.44,2946.04,3069.20,1744158000,3069.20
2012-04-16,3027.57,3058.72,2975.87,3000.45,1735172000,3000.45
2012-04-09,3037.28,3059.26,2987.00,3011.33,1565964000,3011.33
2012-04-02,3085.94,3128.25,3052.58,3080.50,1733587500,3080.50
