Date,Open,High,Low,Close,Volume,Adj Close
2012-09-24,1005.83,1007.48,977.52,992.14,000,992.14
2012-09-17,1026.77,1026.77,1001.02,1006.04,000,1006.04
2012-09-10,1004.57,1030.00,999.88,1026.85,000,1026.85
2012-09-04,971.55,1007.19,965.35,1004.60,000,1004.60
2012-08-27,970.16,976.35,962.54,971.55,000,971.55
2012-08-20,977.76,983.52,963.53,970.16,000,970.16
2012-08-13,961.96,978.04,952.47,977.85,000,977.85
2012-08-06,944.77,964.22,944.77,961.96,000,961.96
2012-07-30,949.15,952.87,919.83,944.68,000,944.68
2012-07-23,939.68,952.37,909.43,949.15,000,949.15
2012-07-16,942.54,953.77,929.04,939.71,000,939.71
2012-07-09,947.28,951.34,916.89,942.57,000,942.57
2012-07-02,941.64,962.00,939.56,947.27,000,947.27
2012-06-25,914.57,941.96,895.40,941.64,000,941.64
2012-06-18,920.08,942.12,910.34,916.14,000,916.14
2012-06-11,925.99,932.93,901.31,920.26,000,920.26
2012-06-04,896.21,935.12,882.01,925.98,000,925.98
2012-05-29,935.03,948.34,895.93,896.17,000,896.17
2012-05-21,905.31,938.43,903.63,934.56,000,934.56
2012-05-14,963.15,963.15,903.91,905.28,000,905.28
2012-05-07,965.30,972.23,949.48,964.52,000,964.52
2012-04-30,999.73,1006.14,962.29,965.30,000,965.30
2012-04-23,975.82,1000.90,955.52,999.40,000,999.40
2012-04-16,964.55,986.13,959.21,976.35,000,976.35
2012-04-09,984.28,984.28,947.70,964.41,000,964.41
2012-04-02,994.25,1004.93,982.39,984.28,000,984.28
2012-03-26,991.55,1006.78,983.76,994.30,000,994.30
2012-03-19,1000.73,1008.68,977.86,990.93,000,990.93
2012-03-12,984.82,1002.83,978.53,1000.73,000,1000.73
2012-03-05,976.93,988.73,952.43,984.81,000,984.81
2012-02-27,985.36,989.03,972.41,977.05,000,977.05
2012-02-21,984.60,989.88,972.07,985.36,000,985.36
2012-02-13,964.46,989.98,964.46,984.60,000,984.60
2012-02-06,968.72,977.53,961.12,964.48,000,964.48
2012-01-30,941.90,972.82,928.41,971.25,000,971.25
2012-01-23,930.62,949.60,922.38,942.11,000,942.11
2012-01-17,906.72,933.13,906.72,930.62,000,930.62
2012-01-09,891.50,912.94,888.61,906.59,000,906.59
2012-01-03,879.71,900.91,872.77,891.49,000,891.49
2011-12-27,884.88,891.00,871.02,879.16,000,879.16
2011-12-19,855.86,884.91,839.13,884.91,000,884.91
2011-12-12,884.65,884.65,838.29,855.67,000,855.67
2011-12-05,881.43,901.47,863.16,885.38,000,885.38
2011-11-28,815.12,893.47,815.12,881.10,000,881.10
2011-11-21,860.95,860.95,812.43,812.43,000,812.43
2011-11-14,892.06,896.55,856.77,861.04,000,861.04
2011-11-07,899.46,907.96,864.60,892.06,000,892.06
2011-10-31,910.64,910.64,853.67,899.46,000,899.46
2011-10-24,861.26,920.24,855.41,910.64,000,910.64
2011-10-17,855.84,861.95,822.44,861.26,000,861.26
2011-10-10,799.18,857.38,799.18,855.84,000,855.84
2011-10-03,781.26,817.16,731.62,799.18,000,799.18
2011-09-26,794.43,841.81,781.21,781.26,000,781.26
2011-09-19,866.09,866.09,773.96,794.43,000,794.43
2011-09-12,823.36,872.62,808.64,866.09,000,866.09
2011-09-06,832.99,862.11,808.77,823.36,000,823.36
2011-08-29,835.92,889.16,830.19,832.99,000,832.99
2011-08-22,787.86,841.87,784.67,835.92,000,835.92
2011-08-15,843.08,865.82,787.35,787.86,000,787.86
2011-08-08,844.78,850.75,770.58,843.08,000,843.08
2011-08-01,943.42,954.35,826.30,844.78,000,844.78
2011-07-25,991.79,991.79,928.45,943.42,000,943.42
2011-07-18,976.11,993.21,957.42,991.79,000,991.79
2011-07-11,1004.98,1004.98,968.32,976.11,000,976.11
2011-07-05,995.05,1013.34,990.16,1004.98,000,1004.98
2011-06-27,946.00,995.82,941.53,995.05,000,995.05
2011-06-20,932.75,962.67,930.36,946.00,000,946.00
2011-06-13,931.94,948.70,922.54,932.75,000,932.75
2011-06-06,961.25,971.11,929.96,931.94,000,931.94
2011-05-31,990.19,1000.46,960.54,961.25,000,961.25
2011-05-23,986.78,992.39,964.76,990.19,000,990.19
2011-05-16,993.92,998.87,971.75,986.83,000,986.83
2011-05-09,988.90,1010.66,988.02,993.92,000,993.92
2011-05-02,1015.26,1018.65,981.42,988.90,000,988.90
2011-04-25,995.16,1016.52,989.68,1015.26,000,1015.26
2011-04-18,982.57,995.19,958.54,995.16,000,995.16
2011-04-11,987.62,990.40,965.47,982.57,000,982.57
2011-04-04,996.43,1007.30,982.91,987.62,000,987.62
2011-03-28,970.43,998.05,961.73,996.43,000,996.43
2011-03-21,942.69,977.67,942.69,970.43,000,970.43
2011-03-14,952.94,953.26,921.66,942.69,000,942.69
2011-03-07,968.55,972.98,941.97,952.94,000,952.94
2011-02-28,964.21,976.75,947.57,968.55,000,968.55
2011-02-22,982.16,982.16,936.08,964.21,000,964.21
2011-02-14,969.50,983.84,968.78,982.17,000,982.17
2011-02-07,944.95,970.03,944.92,969.50,000,969.50
2011-01-31,917.72,945.78,917.70,944.95,000,944.95
2011-01-24,914.36,937.22,914.35,917.72,000,917.72
2011-01-18,931.07,939.56,912.63,914.36,000,914.36
2011-01-10,910.53,931.07,900.84,931.07,000,931.07
2011-01-03,907.25,924.10,901.58,910.53,000,910.53
2010-12-27,910.79,916.18,904.61,907.25,000,907.25
2010-12-20,902.64,915.18,899.49,910.79,000,910.79
2010-12-13,899.04,905.60,890.57,902.64,000,902.64
2010-12-06,886.74,899.65,883.67,899.04,000,899.04
2010-11-29,859.31,888.04,847.09,886.74,000,886.74
2010-11-22,850.33,864.02,842.63,859.43,000,859.43
2010-11-15,843.87,853.88,826.80,850.33,000,850.33
2010-11-08,861.09,863.66,841.17,843.87,000,843.87
2010-11-01,829.13,862.51,823.48,861.09,000,861.09
2010-10-25,824.91,836.77,819.57,829.13,000,829.13
2010-10-18,819.76,828.11,805.71,824.91,000,824.91
2010-10-11,811.37,827.39,807.28,819.76,000,819.76
2010-10-04,803.89,813.53,791.00,811.37,000,811.37
2010-09-27,796.29,811.70,786.41,803.90,000,803.90
2010-09-20,780.82,796.29,775.20,796.29,000,796.29
2010-09-13,763.79,782.63,763.62,780.82,000,780.82
2010-09-07,766.45,768.41,754.43,763.79,000,763.79
2010-08-30,734.18,768.67,715.61,766.52,000,766.52
2010-08-23,736.49,743.33,709.20,734.30,000,734.30
2010-08-16,734.54,754.61,727.85,736.52,000,736.52
2010-08-09,771.91,780.11,732.11,734.59,000,734.59
2010-08-02,760.25,777.12,760.25,771.93,000,771.93
2010-07-26,763.51,782.98,746.67,760.27,000,760.27
2010-07-19,726.96,763.60,720.06,763.51,000,763.51
2010-07-12,739.89,755.92,726.01,726.96,000,726.96
2010-07-06,702.29,739.94,695.04,739.89,000,739.89
2010-06-28,745.15,750.23,692.75,702.29,000,702.29
2010-06-21,774.27,785.02,734.21,745.27,000,745.27
2010-06-14,758.52,781.53,758.52,774.27,000,774.27
2010-06-07,736.24,758.65,710.71,758.57,000,758.57
2010-06-01,762.75,769.01,734.50,736.27,000,736.27
2010-05-24,749.97,771.52,714.72,762.76,000,762.76
2010-05-17,789.28,801.75,726.45,749.97,000,749.97
2010-05-10,756.62,819.75,756.62,789.31,000,789.31
2010-05-03,822.94,836.46,736.91,756.64,000,756.64
2010-04-26,849.81,852.90,822.98,823.06,000,823.06
2010-04-19,820.62,850.07,808.94,849.82,000,849.82
2010-04-12,814.48,833.93,811.01,820.62,000,820.62
2010-04-05,797.29,814.92,797.29,814.48,000,814.48
2010-03-29,786.86,799.74,786.86,797.29,000,797.29
2010-03-22,785.12,800.73,779.54,787.02,000,787.02
2010-03-15,783.78,799.05,775.71,785.13,000,785.13
2010-03-08,770.40,783.97,768.76,783.88,000,783.88
2010-03-01,738.35,770.47,738.35,770.47,000,770.47
2010-02-22,740.16,742.57,724.93,738.36,000,738.36
2010-02-16,715.96,741.25,715.96,740.16,000,740.16
2010-02-08,697.09,715.96,690.68,715.96,000,715.96
2010-02-01,702.78,724.56,681.91,697.09,000,697.09
2010-01-25,721.62,727.50,702.35,702.80,000,702.80
2010-01-19,743.11,752.77,720.67,721.64,000,721.64
2010-01-11,752.08,755.91,738.76,743.11,000,743.11
2010-01-04,726.67,752.27,726.65,752.08,000,752.08
2009-12-28,739.71,743.15,726.67,726.67,000,726.67
2009-12-21,714.89,739.82,714.79,739.71,000,739.71
2009-12-14,705.94,721.99,705.90,714.89,000,714.89
2009-12-07,702.14,706.19,689.64,705.94,000,705.94
2009-11-30,680.07,708.73,676.73,702.14,000,702.14
2009-11-23,687.54,702.74,679.30,683.79,000,683.79
2009-11-16,698.22,713.73,683.95,687.54,000,687.54
2009-11-09,681.31,706.99,681.31,698.26,000,698.26
2009-11-02,659.15,685.89,651.79,681.35,000,681.35
2009-10-26,701.33,711.22,657.14,659.15,000,659.15
2009-10-19,707.87,717.75,695.31,701.33,000,701.33
2009-10-12,702.19,714.65,695.23,707.87,000,707.87
2009-10-05,663.43,702.19,663.43,702.19,000,702.19
2009-09-28,678.31,699.14,661.57,663.43,000,663.43
2009-09-21,701.53,706.98,675.97,678.31,000,678.31
2009-09-14,679.41,710.20,673.73,701.53,000,701.53
2009-09-08,653.35,683.25,653.29,679.41,000,679.41
2009-08-31,663.12,663.12,633.41,653.35,000,653.35
2009-08-24,659.60,669.37,648.10,663.15,000,663.15
2009-08-17,645.99,660.46,626.93,659.60,000,659.60
2009-08-10,655.10,655.18,639.70,645.99,000,645.99
2009-08-03,628.05,658.35,628.03,655.10,000,655.10
2009-07-27,621.70,633.25,616.12,628.05,000,628.05
2009-07-20,589.00,621.70,589.00,621.70,000,621.70
2009-07-13,547.08,592.57,540.16,589.00,000,589.00
2009-07-06,565.03,565.03,539.04,547.08,000,547.08
2009-06-29,576.73,589.02,565.03,565.03,000,565.03
2009-06-22,577.98,579.23,551.13,576.73,000,576.73
2009-06-15,597.02,597.02,565.20,577.98,000,577.98
2009-06-08,596.10,604.26,584.42,597.02,000,597.02
2009-06-01,575.52,602.51,575.50,596.10,000,596.10
2009-05-26,551.28,576.52,547.65,575.52,000,575.52
2009-05-18,545.72,582.18,545.68,551.28,000,551.28
2009-05-11,586.91,586.91,540.86,545.72,000,545.72
2009-05-04,558.87,589.88,558.84,586.91,000,586.91
2009-04-27,550.32,574.30,537.23,558.87,000,558.87
2009-04-20,550.20,554.11,517.03,550.32,000,550.32
2009-04-13,536.43,552.79,517.16,550.20,000,550.20
